birdFamily,comName,speciesCode,typicalSeason
Scolopacidae: Sandpipers,Lesser Yellowlegs,lesyel,Easter
Scolopacidae: Sandpipers,Solitary Sandpiper,solsan,Easter
Scolopacidae: Sandpipers,Spotted Sandpiper,sposan,Easter
Scolopacidae: Sandpipers,Wilson's Snipe,wilsni1,Lent
Sittidae: Nuthatches,White-breasted Nuthatch,whbnut,Ordinary Time (late)
Strigidae: Typical Owls,Eastern Screech-Owl,easowl1,Ordinary Time (early)
Sturnidae: Starlings,European Starling,eursta,Advent
Sylviidae: Gnatcatchers,Blue-gray Gnatcatcher,buggna,Easter
Sylviidae: Gnatcatchers,Blue-gray Gnatcatcher,buggna,Ordinary Time (early)
Trochilidae: Hummingbirds,Ruby-throated Hummingbird,rthhum,Ordinary Time (early)
Troglodytidae: Wrens,Carolina Wren,carwre,Ordinary Time (early)
Troglodytidae: Wrens,House Wren,houwre,Ordinary Time (early)
Turdidae: Thrushes,American Robin,amerob,Lent
Turdidae: Thrushes,Eastern Bluebird,easblu,Ordinary Time (early)
Turdidae: Thrushes,Wood Thrush,woothr,Easter
Tyrannidae: Tyrant Flycatchers,Eastern Kingbird,easkin,Ordinary Time (early)
Tyrannidae: Tyrant Flycatchers,Eastern Phoebe,easpho,Ordinary Time (early)
Tyrannidae: Tyrant Flycatchers,Eastern Wood-Pewee,eawpew,Ordinary Time (early)
Tyrannidae: Tyrant Flycatchers,Great Crested Flycatcher,grcfly,Easter
Tyrannidae: Tyrant Flycatchers,Great Crested Flycatcher,grcfly,Ordinary Time (early)
Tyrannidae: Tyrant Flycatchers,Willow Flycatcher,wilfly,Ordinary Time (early)
Vireonidae: Vireos,Blue-headed Vireo,buhvir,Ordinary Time (late)
Vireonidae: Vireos,Red-eyed Vireo,reevir1,Easter
Vireonidae: Vireos,Red-eyed Vireo,reevir1,Ordinary Time (early)
Vireonidae: Vireos,Warbling Vireo,warvir,Easter
NA,Rock Pigeon,rocpig,Epiphany
NA,Rock Pigeon,rocpig,Ordinary Time (late)
