birdFamily,comName,speciesCode,liturgicalSeason_collapsed
Passerellidae: New World Sparrows and Towhees,Dark-eyed Junco,daejun,"Epiphany, Lent"
Passerellidae: New World Sparrows and Towhees,Eastern Towhee,eastow,Ordinary Time
Passerellidae: New World Sparrows and Towhees,Field Sparrow,fiespa,Ordinary Time
Passerellidae: New World Sparrows and Towhees,Savannah Sparrow,savspa,Lent
Passerellidae: New World Sparrows and Towhees,Song Sparrow,sonspa,Ordinary Time
Passerellidae: New World Sparrows and Towhees,White-crowned Sparrow,whcspa,Epiphany
Passerellidae: New World Sparrows and Towhees,White-throated Sparrow,whtspa,"Epiphany, Lent"
Passeridae: Old World Sparrows,House Sparrow,houspa,Ordinary Time
Phasianidae: Grouse and Turkeys,Wild Turkey,wiltur,Ordinary Time
Picidae: Woodpeckers,Downy Woodpecker,dowwoo,Ordinary Time
Picidae: Woodpeckers,Hairy Woodpecker,haiwoo,Ordinary Time
Picidae: Woodpeckers,Northern Flicker,norfli,Ordinary Time
Picidae: Woodpeckers,Pileated Woodpecker,pilwoo,Ordinary Time
Picidae: Woodpeckers,Red-bellied Woodpecker,rebwoo,Ordinary Time
Picidae: Woodpeckers,Red-headed Woodpecker,rehwoo,Ordinary Time
Picidae: Woodpeckers,Yellow-bellied Sapsucker,yebsap,Ordinary Time
Regulidae: Kinglets,Golden-crowned Kinglet,gockin,Lent
Regulidae: Kinglets,Ruby-crowned Kinglet,ruckin,Ordinary Time
Scolopacidae: Sandpipers,Greater Yellowlegs,greyel,Easter
Scolopacidae: Sandpipers,Least Sandpiper,leasan,Ordinary Time
Scolopacidae: Sandpipers,Lesser Yellowlegs,lesyel,Easter
Scolopacidae: Sandpipers,Solitary Sandpiper,solsan,"Easter, Ordinary Time"
Scolopacidae: Sandpipers,Spotted Sandpiper,sposan,Easter
Scolopacidae: Sandpipers,Wilson's Snipe,wilsni1,Lent
Sittidae: Nuthatches,White-breasted Nuthatch,whbnut,Ordinary Time
Strigidae: Typical Owls,Eastern Screech-Owl,easowl1,Ordinary Time
Sturnidae: Starlings,European Starling,eursta,Advent
Sylviidae: Gnatcatchers,Blue-gray Gnatcatcher,buggna,Ordinary Time
Trochilidae: Hummingbirds,Ruby-throated Hummingbird,rthhum,Ordinary Time
Troglodytidae: Wrens,Carolina Wren,carwre,Ordinary Time
Troglodytidae: Wrens,House Wren,houwre,Ordinary Time
Turdidae: Thrushes,American Robin,amerob,"Lent, Ordinary Time"
Turdidae: Thrushes,Eastern Bluebird,easblu,Ordinary Time
Turdidae: Thrushes,Wood Thrush,woothr,Easter
Tyrannidae: Tyrant Flycatchers,Eastern Kingbird,easkin,Ordinary Time
Tyrannidae: Tyrant Flycatchers,Eastern Phoebe,easpho,Ordinary Time
Tyrannidae: Tyrant Flycatchers,Eastern Wood-Pewee,eawpew,Ordinary Time
Tyrannidae: Tyrant Flycatchers,Great Crested Flycatcher,grcfly,"Easter, Ordinary Time"
Tyrannidae: Tyrant Flycatchers,Willow Flycatcher,wilfly,Ordinary Time
Vireonidae: Vireos,Blue-headed Vireo,buhvir,Ordinary Time
Vireonidae: Vireos,Red-eyed Vireo,reevir1,"Easter, Ordinary Time"
Vireonidae: Vireos,Warbling Vireo,warvir,Easter
NA,Rock Pigeon,rocpig,Ordinary Time
